id,code,name,user_type_id/id,reconcile,tag_ids/id,chart_template_id/id
az10,10,Qeyri-maddi aktivlər,account.data_account_type_fixed_assets,FALSE,,l10n_az
az101,101,Qeyri-maddi aktivlərin dəyəri,account.data_account_type_fixed_assets,FALSE,,l10n_az
az102,102,Qeyri-maddi aktivlər üzrə yığılmış amortizasiya və qiymətdəndüşmə zərərləri,account.data_account_type_fixed_assets,FALSE,,l10n_az
az103,103,Qeyri-maddi aktivlərlə bağlı məsrəflərin kapitallaşdırılması,account.data_account_type_fixed_assets,FALSE,,l10n_az
az11,11,"Torpaq, tikili və avadanlıqlar",account.data_account_type_fixed_assets,FALSE,,l10n_az
az111,111,"Torpaq, tikili və avadanlıqların dəyəri",account.data_account_type_fixed_assets,FALSE,,l10n_az
az112,112,"Torpaq, tikili və avadanlıqlar üzrə yığılmış amortizasiya və qiymətdəndüşmə zərərləri",account.data_account_type_fixed_assets,FALSE,,l10n_az
az113,113,"Torpaq, tikili və avadanlıqlarla bağlı məsrəflərin kapitallaşdırılması",account.data_account_type_fixed_assets,FALSE,,l10n_az
az12,12,İnvestisiya mülkiyyəti,account.data_account_type_fixed_assets,FALSE,,l10n_az
az121,121,İnvestisiya mülkiyyətinin dəyəri,account.data_account_type_fixed_assets,FALSE,,l10n_az
az122,122,İnvestisiya mülkiyyəti üzrə yığılmış amortizasiya və qiymətdəndüşmə zərərləri,account.data_account_type_fixed_assets,FALSE,,l10n_az
az123,123,İnvestisiya mülkiyyəti ilə bağlı məsrəflərin kapitallaşdırılması,account.data_account_type_fixed_assets,FALSE,,l10n_az
az13,13,Bioloji aktivlər,account.data_account_type_fixed_assets,FALSE,,l10n_az
az131,131,Bioloji aktivlərin dəyəri,account.data_account_type_fixed_assets,FALSE,,l10n_az
az132,132,Bioloji aktivlər üzrə yığılmış amortizasiya və qiymətdəndüşmə zərərləri,account.data_account_type_fixed_assets,FALSE,,l10n_az
az14,14,Təbii sərvətlər,account.data_account_type_fixed_assets,FALSE,,l10n_az
az141,141,Təbii sərvətlərin (ehtiyatların) dəyəri,account.data_account_type_fixed_assets,FALSE,,l10n_az
az142,142,Təbii sərvətlərin (ehtiyatların) tükənməsi,account.data_account_type_fixed_assets,FALSE,,l10n_az
az15,15,İştirak payı metodu ilə uçota alınmış investisiyalar,account.data_account_type_non_current_assets,FALSE,,l10n_az
az151,151,Asılı müəssisələrə investisiyalar,account.data_account_type_non_current_assets,FALSE,,l10n_az
az152,152,Birgə müəssisələrə investisiyalar,account.data_account_type_non_current_assets,FALSE,,l10n_az
az153,153,Asılı və birgə müəssisələrə investisiyaların dəyərinin azalmasına görə düzəlişlər,account.data_account_type_non_current_assets,FALSE,,l10n_az
az16,16,Təxirə salınmış vergi aktivləri,account.data_account_type_non_current_assets,FALSE,,l10n_az
az161,161,Mənfəət vergisi üzrə təxirə salınmış vergi aktivləri,account.data_account_type_non_current_assets,FALSE,,l10n_az
az162,162,Digər təxirə salınmış vergi aktivləri,account.data_account_type_non_current_assets,FALSE,,l10n_az
az17,17,Uzunmüddətli debitor borcları,account.data_account_type_non_current_assets,FALSE,,l10n_az
az171,171,Alıcıların və sifarişçilərin uzunmüddətli debitor borcları,account.data_account_type_non_current_assets,FALSE,,l10n_az
az172,172,Törəmə (asılı) müəssisələrin uzunmüddətli debitor borcları,account.data_account_type_non_current_assets,FALSE,,l10n_az
az173,173,Əsas idarəetmə heyətinin uzunmüddətli debitor borcları,account.data_account_type_non_current_assets,FALSE,,l10n_az
az174,174,İcarə üzrə uzunmüddətli debitor borcları,account.data_account_type_non_current_assets,FALSE,,l10n_az
az175,175,Tikinti müqavilələri üzrə uzunmüddətli debitor borcları,account.data_account_type_non_current_assets,FALSE,,l10n_az
az176,176,Faizlər üzrə uzunmüddətli debitor borcları,account.data_account_type_non_current_assets,FALSE,,l10n_az
az177,177,Digər uzunmüddətli debitor borcları,account.data_account_type_non_current_assets,FALSE,,l10n_az
az18,18,Sair uzunmüddətli maliyyə aktivləri,account.data_account_type_non_current_assets,FALSE,,l10n_az
az181,181,Ödənişə qədər saxlanılan uzunmüddətli investisiyalar,account.data_account_type_non_current_assets,FALSE,,l10n_az
az182,182,Verilmiş uzunmüddətli borclar,account.data_account_type_non_current_assets,FALSE,,l10n_az
